SL,District,Upazila,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
245,Bandarban,Thanchi,245,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Juti Para,জুতি পাড়া,TIN706,21.775858,92.569068,24,,,,,,,,,,,,,,,,,,,,
246,Bandarban,Thanchi,246,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Thunglai Para,থুংলাই পাড়া,TIN707,21.791687,92.563415,52,,,,,,,,,,,,,,,,,,,,
247,Bandarban,Thanchi,247,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Chingkhayng Para,চিংক্ষ্যং পাড়া,TIN708,21.768485,92.523623,64,,,,,,,,,,,,,,,,,,,,
248,Bandarban,Thanchi,248,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Nicholas Para,নিকোলাস পাড়া,TIN709,21.771579,92.545190,36,,,,,,,,,,,,,,,,,,,,
249,Bandarban,Thanchi,249,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,07,,,,Tindu BGB Camp,তিন্দু বিজিবি ক্যাম্প,TIN710,21.763329,92.534340,,,,,,,,,,,,,,,,,,,,,
250,Bandarban,Thanchi,250,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Hazrai Para,হাঁজরাই পাড়া,TIN801,21.806981,92.579224,44,,,,,,,,,,,,,,,,,,,,
251,Bandarban,Thanchi,251,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Bonk Para,বংক পাড়া,TIN802,21.823084,92.578972,84,,,,,,,,,,,,,,,,,,,,
252,Bandarban,Thanchi,252,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Rameshchandra Para,রমেশচন্দ্র পাড়া,TIN803,21.815784,92.575755,48,,,,,,,,,,,,,,,,,,,,
253,Bandarban,Thanchi,253,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Nipiu Para,নিপিউ পাড়া,TIN804,21.796466,92.597747,84,,,,,,,,,,,,,,,,,,,,
254,Bandarban,Thanchi,254,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Shalukia Para,শালুকিয়া পাড়া,TIN805,21.812494,92.589400,120,,,,,,,,,,,,,,,,,,,,
255,Bandarban,Thanchi,255,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Mongkhay Para,মংখই পাড়া,TIN806,21.775957,92.573583,68,,,,,,,,,,,,,,,,,,,,
256,Bandarban,Thanchi,256,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Laldusang Para,লালদুসাং পাড়া,TIN807,21.771999,92.575601,20,,,,,,,,,,,,,,,,,,,,
257,Bandarban,Thanchi,257,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Sajai Para,সাজাই পাড়া,TIN808,21.776696,92.571074,68,,,,,,,,,,,,,,,,,,,,
258,Bandarban,Thanchi,258,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Tindu BGB Camp,তিন্দু বিজিবি ক্যাম্প,TIN809,21.797646,92.596203,,,,,,,,,,,,,,,,,,,,,
259,Bandarban,Thanchi,259,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Tindu Army Camp,তিন্দু আর্মি ক্যাম্প,TIN810,21.831480,92.566214,,,,,,,,,,,,,,,,,,,,,
260,Bandarban,Thanchi,260,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,08,,,,Bongku Para Army Camp,বংকু পাড়া আর্মি ক্যাম্প,TIN811,21.821991,92.603305,,,,,,,,,,,,,,,,,,,,,
261,Bandarban,Thanchi,261,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Remon Para,রেমন পাড়া,TIN901,21.745816,92.587085,108,,,,,,,,,,,,,,,,,,,,
262,Bandarban,Thanchi,262,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Baduniya Para,বাদুনিয়া পাড়া,TIN902,21.741443,92.584895,24,,,,,,,,,,,,,,,,,,,,
263,Bandarban,Thanchi,263,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Parao Para,পারাও পাড়া,TIN903,21.744345,92.560408,28,,,,,,,,,,,,,,,,,,,,
264,Bandarban,Thanchi,264,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Manachandra,মনাচন্দ্র,TIN904,21.741136,92.562300,28,,,,,,,,,,,,,,,,,,,,
265,Bandarban,Thanchi,265,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Bajung Para,বাজুং পাড়া,TIN905,21.762082,92.578359,32,,,,,,,,,,,,,,,,,,,,
266,Bandarban,Thanchi,266,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Khuitek Para,খুইতেক পাড়া,TIN906,21.745190,92.569529,52,,,,,,,,,,,,,,,,,,,,
267,Bandarban,Thanchi,267,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Sadara BGB Camp,সদরা বিজিবি ক্যাম্প,TIN907,21.760741,92.600393,,,,,,,,,,,,,,,,,,,,,
268,Bandarban,Thanchi,268,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Tindu BGB Camp,তিন্দু বিজিবি ক্যাম্প,TIN908,21.746349,92.583365,,,,,,,,,,,,,,,,,,,,,
269,Bandarban,Thanchi,269,Bangladesh,Chattogram,Bandarban,Thanchi,Tindu,09,,,,Undefined,নামহীন,TIN909,21.766752,92.601500,,,,,,,,,,,,,,,,,,,,,
